Elliptic curve parameters:
name = secp256k1
mode = legacy
p = 115792089237316195423570985008687907853269984665640564039457584007908834671663
a = 0
b = 7
g = (55066263022277343669578718895168534326250603453777594175500187360389116729240, 32670510020758816978083085130507043184471273380659243275938904335757337482424)
n = 115792089237316195423570985008687907852837564279074904382605163141518161494337

Directly constructed signatures for taxonomy classes A E. z is CHOSEN so that each signature lands in its class -- it is not the hash of any particular message. Every row is nonetheless an honest ECDSA signature: it verifies against x*G, and the private key x* is re-derived from the public (z, r, s) by the recovery routine and confirmed on the curve. Constructing such a signature requires already knowing x, so none of this transfers to a signature you did not create yourself.

---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
case  s                                                                               s_zk*                                                                           s_rxk*                                                                          s_zr                                                                            z                                                                               r_x                                                                             r_y                                                                             x*                                                                              k*                                                                              k^{-1}*                                                                         a  m1*  m2*  f*  x_recovered                                                                     hypothesis
A     57098976296273970543060346206189154838569354037923296190211238036662402986147   1                                                                               57098976296273970543060346206189154838569354037923296190211238036662402986146   57098976296273970543060346206189154838569354037923296190211238036662402986150   103533762092223460590136900845961799137160466336722356071028194377337643642451  50830486739846790823318672213162356848626719094349355826718028022011363939089   47076274270452536978426594360391290574096209529656096965052623071639775907398   53340145361740083952060516253404584553345425818965418886560210453996051505225   103533762092223460590136900845961799137160466336722356071028194377337643642451  112292538209704060921377011622092032822332359135077437078540044557413990091690  1  1    -    -   53340145361740083952060516253404584553345425818965418886560210453996051505225   -
A     5625717910718471762392889208252023528817173205282263880664241936172877335087    1                                                                               5625717910718471762392889208252023528817173205282263880664241936172877335086    5625717910718471762392889208252023528817173205282263880664241936172877335104    84497124838946471293596360881708047566855892299682870836934373655636616651190   39330341767778874133542737865797583207407123405884081081672316885289812881519   68939734193265809064147911152138269163739197910498720556051951859715519881904   44942784974619997407159636844796208763536732237888529817643264547392560743248   84497124838946471293596360881708047566855892299682870836934373655636616651190   110639585895144365085559230121450525599339571410913086658443504256205258025557  1  1    -    -   44942784974619997407159636844796208763536732237888529817643264547392560743248   -
A     7846195687431339812687694697828119804087177789710951963645858850804803233975    1                                                                               7846195687431339812687694697828119804087177789710951963645858850804803233974    7846195687431339812687694697828119804087177789710951963645858850804803233998    88499608708321593291249079887067411385054448517676887262861811049526176915074   20492757478260102997226798272282307138827696980361878661677099286432726031477   111966534316903125370269813421518918196331481770818548520771239163743223775101  93146626243737957657293250799858090281677210526756419465351766111033871831016   88499608708321593291249079887067411385054448517676887262861811049526176915074   65185309896656346580776827433237008289522235611848141244367636955221611918934   1  1    -    -   93146626243737957657293250799858090281677210526756419465351766111033871831016   -
A     68866076751888250733674412871460562214210694106747059725573175398528032624729   1                                                                               68866076751888250733674412871460562214210694106747059725573175398528032624728   68866076751888250733674412871460562214210694106747059725573175398528032624731   10152953498129425278753724781866993861627896041686554383998559239954141211370   111398314569136205525862685360119172248223482179813188433077159236753570135133  78497749887006365874041765515279515616375164044886609130301542552027395309869   5257966760898676984378316903703980493555046712390809910937270668393330443932    10152953498129425278753724781866993861627896041686554383998559239954141211370   97043448200023094244575420346624731205753185912301463510941561558176069458720   1  1    -    -   5257966760898676984378316903703980493555046712390809910937270668393330443932    -
A     69521901382537695216596229879582611910982840963992009149016300864139984608035   1                                                                               69521901382537695216596229879582611910982840963992009149016300864139984608034   69521901382537695216596229879582611910982840963992009149016300864139984608037   16454176883843716673161174268809640951827247897059747288074831039937199099429   29837733389330543907084128598641502255196631426538534305647759661181795149959   8832365191013927058678233249842714395443264857356421459268017353059501674848    68271579717470820214718373237174192533522205010323745912313593232088786719498   16454176883843716673161174268809640951827247897059747288074831039937199099429   90710109693158772955582281134051492073217637679331487573807241425461443144962   1  1    -    -   68271579717470820214718373237174192533522205010323745912313593232088786719498   -
A     27352199488009636977611375366924587216853034602731802266896450956195126274707   1                                                                               27352199488009636977611375366924587216853034602731802266896450956195126274706   27352199488009636977611375366924587216853034602731802266896450956195126274714   22655673922065315021232146782406221128211251367370867415214568871804654583988   9545225255535757502693941220229213305445305275337508568960103921847626728165    94781125787666428896207440472701053535168049099801214881766867260165670276461   47175323536061313943976488028356666727025522684233809837284245559872485434922   22655673922065315021232146782406221128211251367370867415214568871804654583988   7233871223675000487110424437238220995854121063398771569493070379588342908468    1  1    -    -   47175323536061313943976488028356666727025522684233809837284245559872485434922   -
A     67574465975968990939834860079016493240090462373285133359338988122816506993749   1                                                                               67574465975968990939834860079016493240090462373285133359338988122816506993748   67574465975968990939834860079016493240090462373285133359338988122816506993751   61125048310920520791288759741085639101983382061475207772831881040001138541916   49910285598902812072115102680879733365085848114657405670435285313706725172216   42205031055830466613811263577974005354204969702844660360142505015400873989890   92301394016929044731570782841999725737159418665525025293135982721752583724960   61125048310920520791288759741085639101983382061475207772831881040001138541916   36650752273513653072559426011314820228240515496469339156236582193568236635219   1  1    -    -   92301394016929044731570782841999725737159418665525025293135982721752583724960   -
A     3427193920691977440768869141000198206574074315554316784793751196357170917971    1                                                                               3427193920691977440768869141000198206574074315554316784793751196357170917970    3427193920691977440768869141000198206574074315554316784793751196357170917973    94871290176472508713532703177268029753120169879548594900821469411730182108384   67695154429257498108096059323965488442801574566112567329809076592689128979321   56655438316601091210701906133167115584500057470403991025528204137477979987351   29223323964855138934693071201252198313447888692694799151025898999752154535096   94871290176472508713532703177268029753120169879548594900821469411730182108384   95186600444055800254643115817438993933943582770114119663966624635260467427309   1  1    -    -   29223323964855138934693071201252198313447888692694799151025898999752154535096   -
A     115507062993404103202994187227336499848736395915195089326146390528481940362103  1                                                                               115507062993404103202994187227336499848736395915195089326146390528481940362102  115507062993404103202994187227336499848736395915195089326146390528481940362260  93345341191500498619670979286405847884890856382591847889873196433304735705089   49412154216040876086728104385312541878938999242598785156113697358517245988338   9794540870554490852138642968997828561289152491050011299296917810105817299456    11532438058638011551790466107515768596658004805098562528776404488062713524287   93345341191500498619670979286405847884890856382591847889873196433304735705089   105385963370401010087307942831028102979375297337161878808516998312314842609768  1  1    -    -   11532438058638011551790466107515768596658004805098562528776404488062713524287   -
A     1171553783901207700739641402382879820947971507927175909176447750843220292325    1                                                                               1171553783901207700739641402382879820947971507927175909176447750843220292324    1171553783901207700739641402382879820947971507927175909176447750843220292328    112828710857797261658216777572124942369051208737895764538281133263203585897760  16913915354519649331140524710451933060937796120933536859981953783817110903216   44101758199282117979307538660367503575924041288742552733305264379546623786589   63943362500627100860511559901817511205118578632552177777567632269481823566621   112828710857797261658216777572124942369051208737895764538281133263203585897760  41914081862244213958391898389878389286087098339088440500217361354538239630294   1  1    -    -   63943362500627100860511559901817511205118578632552177777567632269481823566621   -
A     45498654898232163236825877791630728753190687916848946323758222211973041601383   1                                                                               45498654898232163236825877791630728753190687916848946323758222211973041601382   45498654898232163236825877791630728753190687916848946323758222211973041601385   11682749117341093557507230969138926689651245237057130342384282324694885195117   7146945401309877279584021700106614753365728805534388354383938540329586307846    109955278997752705136510877500909065493913235296863629407762783510413267586632  97708454463884321022307329530444057526148405448660495738222191536707095523770   11682749117341093557507230969138926689651245237057130342384282324694885195117   101264387093344114240870668254304155984756465165161626646667045643776526242796  1  1    -    -   97708454463884321022307329530444057526148405448660495738222191536707095523770   -
A     16580706132473467189284592545039648497805027726471435783617281754754934572557   1                                                                               16580706132473467189284592545039648497805027726471435783617281754754934572556   16580706132473467189284592545039648497805027726471435783617281754754934572559   62908160776729293941793695302768661321100965586391795702197654489440482723015   111907246803060244100382704182322145779507194110216967807306109225583577583810  24624970509217068980140586625072662043696948213138972581855055596723643328684   103668787236043735753712197777842944019984240989041999272107587377392829064947  62908160776729293941793695302768661321100965586391795702197654489440482723015   74294203753710236211606648352540480980760828352517285699887272968996714244821   1  1    -    -   103668787236043735753712197777842944019984240989041999272107587377392829064947  -
A     63329811938806343620158075490628927834430511841306009155747412757310094771595   1                                                                               63329811938806343620158075490628927834430511841306009155747412757310094771594   63329811938806343620158075490628927834430511841306009155747412757310094771597   83514440144679867278322318127876905004282371021179139635850190881189921250223   105788818310875130541419771029596478051147493910868986797193383663548893483008  88983481660936066993280290883188377101859785733733347926110572672658347977187   55211052351825264618363917888955283022865142613064764971728750701262481918030   83514440144679867278322318127876905004282371021179139635850190881189921250223   61643780845073855543748080359781952160847147832053649179901879442646356103897   1  1    -    -   55211052351825264618363917888955283022865142613064764971728750701262481918030   -
A     53703206896113243053822847818569309433536559413735572944615599646316947491245   1                                                                               53703206896113243053822847818569309433536559413735572944615599646316947491244   53703206896113243053822847818569309433536559413735572944615599646316947491247   82690602934453213642827313738359077451427140403263771741570797608402056017425   56948197835119232338104216878581770050174365598587898283590166732135326491211   11450389283519101594259511016022978659632582459753278468357304640560211965333   16563530135467377056570350071205797310790546703092754276983194982590847194817   82690602934453213642827313738359077451427140403263771741570797608402056017425   7616442440901418638175978698840651993599777332979931483960017615424679761633    1  1    -    -   16563530135467377056570350071205797310790546703092754276983194982590847194817   -
A     12897341212722246138287172663913367376615197016689622848908448075704043668925   1                                                                               12897341212722246138287172663913367376615197016689622848908448075704043668924   12897341212722246138287172663913367376615197016689622848908448075704043668927   71536310065126376702817134933004638019765066801331114376271598957663870809427   9009112068126593362194895666679977917052589824828480246134303528910713205897    98765202447383497958336223015276111004093673678882614066219193955973175969520   7638213644403668909142954211252275846209708479068425429061896275197601349613    71536310065126376702817134933004638019765066801331114376271598957663870809427   51464907901084168644355623939008495749000915802047670147895284294435446016712   1  1    -    -   7638213644403668909142954211252275846209708479068425429061896275197601349613    -
A     35622376656671577167350365304480212695996491482415658213214158833766053362205   1                                                                               35622376656671577167350365304480212695996491482415658213214158833766053362204   35622376656671577167350365304480212695996491482415658213214158833766053362208   96602221415140946355029084430502918847947338229264184326113328016079516923242   78836891737914636413976098715799894646926786701844855740406012388189533321496   88702023583712207334979910973798315712416122163399045877607223038762896538199   99587126101706620974593933937407714887742180907528570236002986335521963841690   96602221415140946355029084430502918847947338229264184326113328016079516923242   71829754281588505835999031360566731414589396717168773661129507547466426353264   1  1    -    -   99587126101706620974593933937407714887742180907528570236002986335521963841690   -
A     87047235262427181730076605035063215267186385294129672599090633169890044805915   1                                                                               87047235262427181730076605035063215267186385294129672599090633169890044805914   87047235262427181730076605035063215267186385294129672599090633169890044805917   83792442338517376837738759753938268445228014589614770721224005032936795380758   53888229682600668110593974754883491642764666091799576515695517291600504750741   50815820226991545064210586001798732514084800039970127753361374969027545533496   3477351960622401105617590923425852111015130603767344560782882925837659015365    83792442338517376837738759753938268445228014589614770721224005032936795380758   42356150113011015874718590756435283912290679052733883448510410742534674919546   1  1    -    -   3477351960622401105617590923425852111015130603767344560782882925837659015365    -
A     81675757743490237552257332787898201466243443168061939807121335337627618400613   1                                                                               81675757743490237552257332787898201466243443168061939807121335337627618400612   81675757743490237552257332787898201466243443168061939807121335337627618403632   88299222046984776140249052618369903052421733578958055720204270410734928683344   71397482172105576818094852869625895832618246933150551808118652677986795233071   3262682771960634479534122616205161822592019324568229006350729503953157071825    84264746442010981847755734182481861090065565325612016039600883702565389095586   88299222046984776140249052618369903052421733578958055720204270410734928683344   89391710584136880800674237921251896924505381261655047973585404010249964365788   1  1    -    -   84264746442010981847755734182481861090065565325612016039600883702565389095586   -
A     26894463186131182024649509559720368547977994044043298132184715595630134116761   1                                                                               26894463186131182024649509559720368547977994044043298132184715595630134116760   26894463186131182024649509559720368547977994044043298132184715595630134116766   72808439223783306935964704691361190812614274178659562254949647999972420551887   52316466653831669967789948082053906810694221712315240237232038749559326181949   70600365275284352174231491808877993196622656656760184053074926590526723355896   91460189843664537781627153245862530090191007978643996125720086009479544244149   72808439223783306935964704691361190812614274178659562254949647999972420551887   26094094106945960786931697507671749493937634703216488606470495278843114091113   1  1    -    -   91460189843664537781627153245862530090191007978643996125720086009479544244149   -
A     100816907740845136383552459998554146465773958564738437993310073856243950449547  1                                                                               100816907740845136383552459998554146465773958564738437993310073856243950449546  100816907740845136383552459998554146465773958564738437993310073856243950449549  103887372233005431870976840175800407374587341342750718663596190070157006705813  52633595399306188408274840948053059061249326100360968405154889761832562495013   8490355021530603839860825334090892991384172770134794914738319411397087416632    59385249839395225262652647835082950387960501195635449302629473594572630749217   103887372233005431870976840175800407374587341342750718663596190070157006705813  16363109507997696500703198056890832727839484057979738497358758834814186383216   1  1    -    -   59385249839395225262652647835082950387960501195635449302629473594572630749217   -
A     44144937598703347287166412247752795382421975999170712701810784940814143934685   1                                                                               44144937598703347287166412247752795382421975999170712701810784940814143934684   44144937598703347287166412247752795382421975999170712701810784940814143934687   36916815661873831540831611501155022259241927426327490198649950264507763285250   2103857928734485262104393895967658317119963519949737928375197978683027036850    22243039887145459734072873372481770807362947814066805093926318829505638221650   79460158352813486816591594545275586669274281514558025792515980868505241686245   36916815661873831540831611501155022259241927426327490198649950264507763285250   105952082202869262205879314713612041829287267949138008093769682666705928062726  1  1    -    -   79460158352813486816591594545275586669274281514558025792515980868505241686245   -
A     92365043819723042882696621447024664956814758839706905688269349647927137257011   1                                                                               92365043819723042882696621447024664956814758839706905688269349647927137257010   92365043819723042882696621447024664956814758839706905688269349647927137257014   71925412039308232300630378268395983658425240964813691112127377036188529720750   113742809518547387065381071550701658412315976862724399409115033331448329592634  53533525095604720896344159851743983150114952771870532193930208895663749330076   31036793576283185487994040016010139492703310747164520756497828871188907539853   71925412039308232300630378268395983658425240964813691112127377036188529720750   66588886992841895074855533526996810065090591774332756929247631761510465816876   1  1    -    -   31036793576283185487994040016010139492703310747164520756497828871188907539853   -
A     105940592993875092258607367208328490718450062081787879401191607048477584703385  1                                                                               105940592993875092258607367208328490718450062081787879401191607048477584703384  105940592993875092258607367208328490718450062081787879401191607048477584703387  82672373373436255896591607743785084880315993298952876490621295370526855679908   72018787957462229779319403832847406124739514743154649640197944416757723380547   85450838165180283058472432860709288391886712105784245234822547519248499120664   30848165715357433523938836451087522007837260912519467027507444177870164682764   82672373373436255896591607743785084880315993298952876490621295370526855679908   76095924102164319319112750229045465574212254852734887226083435434918187768341   1  1    -    -   30848165715357433523938836451087522007837260912519467027507444177870164682764   -
A     9988740973848488859277000014848918512160643904324513955117105511912873457279    1                                                                               9988740973848488859277000014848918512160643904324513955117105511912873457278    9988740973848488859277000014848918512160643904324513955117105511912873457290    69213802319788157055504995224010627328298165110446608224330601687141129103644   106897344539566040038048251082123293471148299856037482341470293365706526881729  83205137013966417900780144784704279496907907887558095534811122388769467662281   115596235880936211059759161763631235461977611403286327005007721939160111416985  69213802319788157055504995224010627328298165110446608224330601687141129103644   22998209402169579360298649974066295125561779938657226786446327782525530146184   1  1    -    -   115596235880936211059759161763631235461977611403286327005007721939160111416985  -
A     23942199625741224476342768425045688090090391626693754561820499448720831783869   1                                                                               23942199625741224476342768425045688090090391626693754561820499448720831783868   23942199625741224476342768425045688090090391626693754561820499448720831783871   36738862520868566750099671778220190228419442996241621701886799914388598512384   66471355176300109016022441965605406581553970833688069986351390471465994677688   3164773473058309543030077199816620705248201449264129937018496390157249895820    107685603869204249546672377973062171189648840896057964447220762533746391549121  36738862520868566750099671778220190228419442996241621701886799914388598512384   68415944338150523890298266144371703843429516305302377491579194936421509878819   1  1    -    -   107685603869204249546672377973062171189648840896057964447220762533746391549121  -
A     53555555268908154365106776654113544022186648819426887897272997719346519416981   1                                                                               53555555268908154365106776654113544022186648819426887897272997719346519416980   53555555268908154365106776654113544022186648819426887897272997719346519416986   9290443370601757129171864791075933571957679299172126923272125397955115169351    82153464403734993188127070086749771716485006341258368453702824141555740608232   115328517309218718446347070737524134100099145853997862351090731164575525704046  63028529718510264438918300127979435478037442361099865706813266951756701302746   9290443370601757129171864791075933571957679299172126923272125397955115169351    85560473524434501205025336204293687033122318784220866482228469274587446482472   1  1    -    -   63028529718510264438918300127979435478037442361099865706813266951756701302746   -
A     3468504019893774733152184414736100633215895590829055859475289983641930624253    1                                                                               3468504019893774733152184414736100633215895590829055859475289983641930624252    3468504019893774733152184414736100633215895590829055859475289983641930624294    96087635438681192441368462968680229172208639017646979276895322065799182554665   50537001392442695446320104956952125008847572513001965544299581927785029337303   34597851013268237117370831612696889473869988408071347009010546371360706346993   23531619171684728869678399451959559370463893962519860900947444199926029380872   96087635438681192441368462968680229172208639017646979276895322065799182554665   1222161828534935662998366062485316490178563739040000758074702680509269055495    1  1    -    -   23531619171684728869678399451959559370463893962519860900947444199926029380872   -
A     33384868735834217325469550582723377740144105821138886967588662812266165706483   1                                                                               33384868735834217325469550582723377740144105821138886967588662812266165706482   33384868735834217325469550582723377740144105821138886967588662812266165706520   51596997345001519346959991157681950720126050028027001915602888911542195791727   60550130979237491882622968361079116188084046432327533253943839842936357703482   21294219782340140119210686694866799858756984088482214112313685456111588440344   92787526781506793880054117410168794623339683407406480394312733840565084911629   51596997345001519346959991157681950720126050028027001915602888911542195791727   17252951057452054121361969776357812246576133279107365965298582248290340019401   1  1    -    -   92787526781506793880054117410168794623339683407406480394312733840565084911629   -
A     101355373131174319822816100910006909785395146125732632851970828699745911990961  1                                                                               101355373131174319822816100910006909785395146125732632851970828699745911990960  101355373131174319822816100910006909785395146125732632851970828699745911991070  72625699402126593225753573066316752816053241689525180466538521527659127204973   27578964086931726680831348069565264350670925523427236812752705703725872934640   108115292250071948361346212132033093218113320579525935751459048308154223150410  95497114111637214019879686278353583027846913350123209044296999254883756542911   72625699402126593225753573066316752816053241689525180466538521527659127204973   104207498348058326360831969478961518873576610051346613273229850959954854854899  1  1    -    -   95497114111637214019879686278353583027846913350123209044296999254883756542911   -
A     4343965444358498525639211583381251139478731395381117857489904637573003699537    1                                                                               4343965444358498525639211583381251139478731395381117857489904637573003699536    4343965444358498525639211583381251139478731395381117857489904637573003699539    89527203988083861522188784166824588043606429005635152513091161696456143105351   62013667913008779682465792473800763147686342831133486129876001735645029612633   6389166417093368082432951245491051747731053885519156175054909599768156438051    96577553951425009178979836523345018170805034467911773007242761374518885413177   89527203988083861522188784166824588043606429005635152513091161696456143105351   57584302360394220402969911189037604548425434728173726321241383922985879242635   1  1    -    -   96577553951425009178979836523345018170805034467911773007242761374518885413177   -
A     107904084948902814257010587360202224516662741564068094575746074869044040373537  1                                                                               107904084948902814257010587360202224516662741564068094575746074869044040373536  107904084948902814257010587360202224516662741564068094575746074869044040373539  29374653245752145943096605868342591460367260164358391820769398898851754671253   52904807217205318449011777084649034714994578558269628081920158077147596627282   90594255951328515722975267728041155378066356710294734601141946561150604541776   67595556837980923162817003394824735285577128884392731490774299379442080874139   29374653245752145943096605868342591460367260164358391820769398898851754671253   60192667267808748465682418710617881603925479999009715612980917980276281508411   1  1    -    -   67595556837980923162817003394824735285577128884392731490774299379442080874139   -
A     85668285276156142516155050684887319506132994875426570706239960871510506852849   1                                                                               85668285276156142516155050684887319506132994875426570706239960871510506852848   85668285276156142516155050684887319506132994875426570706239960871510506852890   53855018251130756357401037327866169042366128685403859756358220081709466713986   114838293900964923430515909262441345158640390571632913699774056389051744223579  112443528526187187190261554477783872386708633544881931614546267664004644075143  7140389694803514013731983377190560631693474620364726797245531818357299431026    53855018251130756357401037327866169042366128685403859756358220081709466713986   82188996959736560690559083823652267882130052905707321080763346270968348056604   1  1    -    -   7140389694803514013731983377190560631693474620364726797245531818357299431026    -
A     115136567274277482376996051831408451678403846712787373578393632588572196904827  1                                                                               115136567274277482376996051831408451678403846712787373578393632588572196904826  115136567274277482376996051831408451678403846712787373578393632588572196904830  14795775464889305086131675019223915430026687841961650387460217488490319005938   56443818859878619658692274750874618672328113895661153342671351919520316850904   40678455280651739238661137669017498541918869359874406578013564717010332191005   67551225728982220425679745307244894253834618249295561138426441075972531631579   14795775464889305086131675019223915430026687841961650387460217488490319005938   112894288548179357393063716922285782102808028308464646979618346967890928250444  1  1    -    -   67551225728982220425679745307244894253834618249295561138426441075972531631579   -
A     19039598241448537834611802466441512067493535119671486714614477079772836486421   1                                                                               19039598241448537834611802466441512067493535119671486714614477079772836486420   19039598241448537834611802466441512067493535119671486714614477079772836486426   103667302677979939136389818798327060515532365661510697820080720725445978405136  85561954143175715118087895511798666728746152604521816002985741128662844113286   17417818245224389268484502503831638667207554406053919625629661841600395589716   17137784823442807558011980220088650484066662190566904805363932327159892064750   103667302677979939136389818798327060515532365661510697820080720725445978405136  48837375416006512773905630015819499208654668256905516756794852741894744562218   1  1    -    -   17137784823442807558011980220088650484066662190566904805363932327159892064750   -
A     85679646096550727074037232884136395577299178654930976368349195082455053171377   1                                                                               85679646096550727074037232884136395577299178654930976368349195082455053171376   85679646096550727074037232884136395577299178654930976368349195082455053171379   13451306668659351727846109726077234909802697760702413511058943979265004441698   10471302952427657020795810585292282092861675746091256171931761347726039608267   46424840745044997316601600080084927600484187476167390705837350895810063049095   112437898927787682437866884737181078342561078309980572532000521677934689120225  13451306668659351727846109726077234909802697760702413511058943979265004441698   70415151171690905097746286263847525822876544586653688770248426569117853036535   1  1    -    -   112437898927787682437866884737181078342561078309980572532000521677934689120225  -
