Elliptic curve parameters:
name = secp17k1
mode = test
p = 100003
a = 0
b = 2
g = (20002, 57568)
n = 99667

Using random message hashes and nonces (only for test curves).

---------------------------------------------------------------------------------------------------------------------------------------------------------
case    s      s_zk*  s_rxk*  s_zr   z      r_x    r_y    x*     k*     k^{-1}*  a      m1*    m2*  f*                          x_recovered  hypothesis
D5      71998  7564   64434   74276  28917  82519  95228  68153  33538  21049    1380   -      -    5.48115942028985507246      -            -
D150    21781  72663  48785   32430  17521  82632  45919  21778  25359  69750    483    -      -    150.44099378881987577639    -            -
D19     58457  12270  46187   68097  57171  62954  90325  34154  82102  18373    617    -      -    19.88654781199351701782     -            -
D86     21411  63343  57735   22445  95595  24642  75006  53842  38315  32807    731    -      -    86.65253077975376196990     -            -
D13     23975  80421  43221   41795  86962  61813  13434  10341  41797  63677    6155   -      -    13.06596263200649878147     -            -
D2      62064  50255  11809   99585  58744  53108  45857  14529  19056  98940    24543  -      -    2.04763068899482540846      -            -
D2      51064  9982   41082   60340  87803  58162  36058  61647  35704  49211    4684   -      -    2.13108454312553373185      -            -
D21     61832  34264  27568   69365  37962  41938  28014  76142  10944  88347    1568   -      -    21.85204081632653061224     -            -
D11     39408  37375  2033    48421  75429  64240  19410  50546  94237  71272    3356   -      -    11.13676996424314660309     -            -
D165    91418  50581  40837   92171  2782   18555  79219  40756  83204  96640    305    -      -    165.83934426229508196721    -            -
D25     16377  87450  28594   22866  10121  16684  48794  76567  70134  92418    3399   -      -    25.72815533980582524271     -            -
D1      63257  10507  52750   82364  66265  69253  35508  96138  58211  84076    5936   -      -    1.77004716981132075471      -            -
D8      45853  63775  81745   65032  52623  76234  85481  58183  31813  89507    7495   -      -    8.50900600400266844563      -            -
D6      46483  95341  50809   62447  57570  21432  73396  65638  70348  66822    14555  -      -    6.55039505324630711095      -            -
D2      18655  16882  1773    30785  36861  92289  49270  70663  69259  98156    6525   -      -    2.58727969348659003831      -            HYP-001
D30     40264  74578  65353   52882  39823  50219  65307  44336  61247  92048    2410   -      -    30.94522821576763485477     -            -
D26     89190  18564  70626   96565  64142  77767  35774  37371  24990  55106    690    -      -    26.90434782608695652173     -            -
D5      47595  96841  50421   77029  97316  62328  47265  65057  20562  67322    18161  -      -    5.33236055283299377787      -            -
D2      56588  32663  23925   70930  42222  86714  76507  93065  82129  28443    13562  -      -    2.40842058693408051909      -            -
D1      72881  10555  62326   89532  80748  69808  1452   31817  19044  65466    6277   -      -    1.68153576549306993786      -            -
D5      39619  32815  6804    73158  14865  38866  43623  93047  60563  97289    6080   -      -    5.39720394736842105263      -            -
D1      39543  12834  26709   54116  38010  93669  13493  78128  26469  5554     10397  -      -    1.23439453688564008848      -            -
D72     90789  29544  61245   91865  40924  37627  94983  75550  94878  36795    405    -      -    72.94814814814814814814     -            -
D2      60923  31057  29866   83667  98148  69036  26316  47455  50586  47615    15435  -      -    2.01211532231940395205      -            -
D57     57027  94996  61698   84717  55804  92862  98547  32093  97628  46974    1647   -      -    57.67820279295689131754     -            -
D2      61776  13160  48616   75982  93903  33774  15984  65033  32202  71307    4952   -      -    2.65751211631663974151      -            -
D11     50329  7682   42647   66887  62659  48811  42056  70332  92241  41727    655    -      -    11.72824427480916030534     -            -
D1      58088  23123  34965   79381  97715  10937  37719  2415   92042  45788    15502  -      -    1.49161398529222035866      -            -
D2310   85332  85473  99526   87769  40759  97911  17324  43289  5439   24225    37     -      -    2310.08108108108108108108   -            -
D4      31550  21852  9698    58574  23190  95535  67945  73350  45456  20218    4526   -      -    4.82810428634555899248      -            -
D23     33456  94112  39011   48197  61100  24973  82049  52174  35783  97163    3974   -      -    23.68193256165072974333     -            -
D6      47474  25994  21480   58267  59700  16527  37507  25465  75621  20231    4302   -      -    6.04230590423059042305      -            -
D6      35583  56146  79104   44526  96115  91405  90701  64702  54763  50435    8754   -      -    6.41375371258853095727      -            -
D25     91167  36812  54355   99326  27692  81495  92564  94824  25570  534      1418   -      -    25.96050775740479548660     -            -
D29     76631  29124  47507   82934  4246   65181  99920  79861  54830  758      995    -      -    29.27035175879396984924     -            -
D22     36218  15876  20342   39769  24863  12240  92674  85857  82009  40035    708    -      -    22.42372881355932203389     -            -
D18     59065  47674  11391   62205  20607  27702  90885  84843  10121  51739    2545   -      -    18.73241650294695481335     -            -
D13     57387  86844  70210   74376  81943  87584  24650  20596  66573  93454    6420   -      -    13.52710280373831775700     -            -
D0      53540  5267   48273   83167  87086  21470  12827  63445  44826  17127    23913  -      -    0.22025676410320746037      -            -
D1800   55318  82844  72141   55600  5743   87650  61404  42436  23733  80765    46     -      -    1800.95652173913043478260   -            -
D29     23070  40808  81929   44760  30272  16200  38463  22927  7953   96534    1380   -      -    29.57101449275362318840     -            -
D152    49462  19539  29923   74129  48396  70114  33751  83769  10592  77432    128    -      -    152.64843750000000000000    -            -
D5      32131  41181  90617   56395  71528  37231  20638  87051  44875  56351    7867   -      -    5.23465107410702936316      -            -
D7      23377  86946  36098   35763  11412  75487  55631  71529  93931  71640    10991  -      -    7.91065417159494131562      -            -
D128    46378  48254  97791   92380  8452   88499  19218  31987  45490  1067     376    -      -    128.33510638297872340425    -            -
D6      30183  35289  94561   36340  60353  91944  38744  95707  3614   68035    5555   -      -    6.35265526552655265526      -            -
D199    79096  86795  91968   79533  63888  76207  60671  54958  26321  48760    436    -      -    199.07110091743119266055    -            -
D153    5089   88590  16166   5841   14367  20708  77392  47773  52527  13284    577    -      -    153.53552859618717504332    -            -
D13     31899  36459  95107   39204  57885  25833  37865  53370  91730  41665    2679   -      -    13.60918253079507278835     -            -
D3      59988  82996  76659   95305  25302  88984  99218  81951  32892  80156    24671  -      -    3.36411171010498155729      -            -
D6      53420  86459  66628   66802  32516  35699  33576  65298  90217  69113    13274  -      -    6.51340967304505047461      -            -
D22     60465  32753  27712   75220  84388  16890  94291  55720  52202  76586    1445   -      -    22.66643598615916955017     -            -
D15     33511  82025  51153   42931  22943  81050  54541  33145  59504  53232    5251   -      -    15.62083412683298419348     -            -
D369    48648  91681  56634   49528  10882  77562  98772  73225  18694  5806     248    -      -    369.68145161290322580645    -            -
D1      61892  31715  30177   95254  19042  81447  97870  79519  29742  21812    28530  -      -    1.11163687346652646337      -            -
D374    29683  7123   22560   34627  41125  46336  185    39825  64832  28491    19     -      -    374.89473684210526315789    -            -
D4      47123  45748  1375    83866  65481  87169  47815  63756  97431  67351    10380  -      -    4.40732177263969171483      -            -
D12     12079  43322  68424   20683  69024  85700  77591  59919  57411  7951     3475   -      -    12.46676258992805755395     -            -
D122    20391  90448  29610   30216  35405  51339  16223  10197  75814  80530    741    -      -    122.06207827260458839406    -            -
D8      14951  9229   5722    21868  46806  49423  40617  5920   30092  70842    1117   -      -    8.26230975828111011638      -            -
D2      16199  10460  5739    28644  97655  33076  13207  96228  21877  67166    3754   -      -    2.78636121470431539690      -            -
D4      51320  54623  96364   64604  78540  51583  44570  69813  85637  89885    11468  -      -    4.76307987443320544122      -            -
D3      43126  27041  16085   78732  64362  62940  25656  65792  47512  7277     7520   -      -    3.59587765957446808510      -            -
D0      41966  1934   40032   48195  89106  58733  34324  66453  25607  74290    4592   -      -    0.42116724738675958188      -            -
D7      57461  90646  66482   80088  37791  70292  65410  49846  71589  81042    12207  -      -    7.42573932989268452527      -            -
D15     39719  79900  59486   48346  61592  72149  43006  47107  56912  11581    5211   -      -    15.33294952984072155056     -            -
D21     81005  47765  33240   85928  9335   79241  49185  82897  23798  31448    2237   -      -    21.35225748770675011175     -            -
D3      62096  88970  72793   99078  73217  71342  50705  97958  28532  61078    25114  -      -    3.54264553635422473520      -            -
D16     29194  50767  78094   37891  76632  23722  548    9640   8143   85261    3103   -      -    16.36061875604253947792     -            -
D0      55255  735    54520   83060  31782  44044  28968  38203  35842  15269    27450  -      -    0.02677595628415300546      -            -
D76     43543  94480  48730   57646  29098  56018  30789  17924  92648  7114     1234   -      -    76.56401944894651539708     -            -
D6      86831  31244  55587   92297  57022  304    75252  92595  6235   24649    4841   -      -    6.45403842181367486056      -            -
D6      70455  95204  74918   98535  63041  68716  85238  22464  92797  16292    14295  -      -    6.65995103182931094788      -            -
D147    72959  95593  77033   78985  87765  40582  65880  46819  98251  73976    647    -      -    147.74806800618238021638    -            -
D6      40362  89406  50623   67891  91584  8253   87001  78731  53637  18238    12833  -      -    6.96688225668199174004      -            -
D203    16959  46300  70326   25325  39322  38408  35740  12260  75201  52017    227    -      -    203.96475770925110132158    -            -
D1336   26954  58823  67798   27851  57566  22908  73790  91481  1165   31825    44     -      -    1336.88636363636363636363   -            -
D2      45589  38629  6960    74294  72113  22836  77235  94606  5562   81909    16884  -      -    2.28790570954750059227      -            -
D11     67247  88947  77967   77208  85767  36735  75599  16987  97251  60518    7481   -      -    11.88972062558481486432     -            -
D1049   59643  47239  12404   59742  64639  12239  36758  44297  20623  65934    45     -      -    1049.75555555555555555555   -            -
D5      66197  25241  40956   78517  11765  79376  85969  48344  61358  74907    4597   -      -    5.49075484011311725038      -            -
D2      72300  39986  32314   91017  73591  55827  70236  57781  72692  19224    16149  -      -    2.47606662951266332280      -            HYP-001
D18     36503  53525  82645   53273  54241  60355  83191  97589  62477  74296    2963   -      -    18.06446169422882213972     -            -
D0      53308  6556   46752   95063  44913  72556  93612  97433  96831  23019    11553  -      -    0.56747165238466199255      -            -
D65     38220  79812  58075   50554  23258  8727   71616  37808  84200  82855    1218   -      -    65.52709359605911330049     -            -
D70     47941  70464  77144   94880  1704   97851  1365   15360  47627  19694    1002   -      -    70.32335329341317365269     -            -
D0      74398  1580   72818   87923  68246  43003  33301  1850   7739   70085    6773   -      -    0.23327919681086667650      -            -
D10     57458  57898  99227   83322  1952   11582  94892  11723  80573  25457    5730   -      -    10.10436300174520069808     -            -
D20     58377  44762  13615   67747  65775  77142  747    36532  74951  76581    2157   -      -    20.75197032916087158089     -            -
D11     44910  59316  85261   58153  9674   19653  18795  98282  32379  63779    5181   -      -    11.44875506658946149392     -            -
D49     78580  63930  14650   89620  19274  65946  58958  52843  89328  78893    1300   -      -    49.17692307692307692307     -            -
D0      42633  2125   40508   81402  77896  1713   9504   57126  67435  55050    3864   -      -    0.54994824016563146997      -            -
D281    69490  52310  17180   78153  40573  81233  38317  87339  60706  3433     186    -      -    281.23655913978494623655    -            -
D5      32780  42591  89856   45506  62690  79003  69909  11392  68936  26737    7328   -      -    5.81209061135371179039      -            -
D0      44619  194    44425   67093  39300  46972  16577  64884  15615  42905    22145  -      -    0.00876044253781892074      -            -
D39     20030  34150  85547   21772  71788  92409  57778  71624  14116  17602    868    -      -    39.34331797235023041474     -            -
D10     18673  26902  91438   34871  48225  40378  23919  66713  56993  25357    2475   -      -    10.86949494949494949494     -            -
D5      46673  41837  4836    86235  24971  36496  78331  90751  4434   26951    7111   -      -    5.88342005343833497398      -            -
D119    75619  44032  31587   82460  29529  42615  33176  48985  56129  56550    368    -      -    119.65217391304347826086    -            -
D18     82412  40353  42059   98468  1836   58247  19431  36689  94095  16796    2132   -      -    18.92729831144465290806     -            -
D7      44894  66873  77688   54011  30402  45344  97947  86570  12636  47554    8426   -      -    7.93650605269404225017      -            -
D0      63892  5235   58657   81201  83794  86005  79365  86851  98693  23433    11965  -      -    0.43752611784371082323      -            -
D0      52890  2856   50034   65001  67991  15425  5403   3667   14925  12334    4446   -      -    0.64237516869095816464      -            -
D4      68681  83022  85326   94631  44792  258    16192  90271  33535  82985    16781  -      -    4.94738096656933436624      -            -
D8      45730  23273  22457   60037  33860  83506  18868  26565  5967   65526    2809   -      -    8.28515485938056247775      -            -
D843    72799  54011  18788   87346  58990  20854  35189  98397  87096  48672    64     -      -    843.92187500000000000000    -            -
D5      34224  60162  73729   57722  23952  68253  44149  27598  70643  82068    10726  -      -    5.60898750699235502517      -            -
D0      56380  15240  41140   76198  29506  4637   41394  80253  92619  98465    16744  -      -    0.91017677974199713330      -            -
D1      39492  3673   35819   76638  80277  49516  30963  22898  81834  38597    2346   -      -    1.56564364876385336743      -            -
D7      41576  41429  147     59750  68869  43945  11961  56018  61942  39703    5228   -      -    7.92444529456771231828      -            -
D0      47219  4354   42865   86433  29820  26544  73998  13902  68588  74727    8005   -      -    0.54391005621486570893      -            -
D67     42072  82920  58819   82910  49232  29522  74377  40525  30944  79894    1234   -      -    67.19611021069692058346     -            -
D0      51183  6915   44268   78493  83382  4977   63185  56707  97863  93424    23873  -      -    0.28965777237883801784      -            -
D0      37504  13458  24046   56375  41439  94923  99154  18614  36284  1530     18633  -      -    0.72226694574142650136      -            -
D8      34699  94902  39464   58002  67256  31847  12744  42656  69073  59737    11396  -      -    8.32765882765882765882      -            -
D1393   33139  54340  78466   33470  45226  62724  1952   89019  7231   41088    39     -      -    1393.33333333333333333333   -            -
D10     47906  82791  64782   55959  29973  79927  68124  96301  24537  77424    7641   -      -    10.83510011778563015312     -            -
D7      80030  38958  41072   92463  4043   7517   464    38942  74680  58878    5432   -      -    7.17194403534609720176      -            -
D17     90437  8849   81588   91240  15887  25909  21411  32869  23857  69078    501    -      -    17.66267465069860279441     -            -
D20     57225  79481  77411   75027  53895  16828  43934  79739  91878  4952     3819   -      -    20.81199266823775857554     -            -
D373    69106  73963  94810   86333  15635  10530  20351  71237  57204  87152    198    -      -    373.55050505050505050505    -            -
D3      51779  71591  79855   84424  59936  93243  56098  77994  52153  64819    19134  -      -    3.74155952754259433469      -            -
D2      66233  22938  43295   80527  35252  13740  9895   95368  94159  78514    9057   -      -    2.53262669758198078834      -            HYP-001
D27     34198  84718  49147   40430  89926  92869  59535  42674  4961   56634    3038   -      -    27.88610928242264647794     -            -
D4      56931  12486  44445   60103  15878  49423  59386  7909   69575  28825    3007   -      -    4.15231127369471233787      -            -
D6      61232  97458  63441   83823  92159  24056  71394  24678  50446  15784    16050  -      -    6.07214953271028037383      -            -
D8      38165  85769  52063   65894  81373  62671  74276  65605  62191  40262    10436  -      -    8.21857033346109620544      -            -
D9      76241  87323  88585   92959  48262  21853  93173  90993  50201  59529    9369   -      -    9.32041840111004376134      -            -
D3      35395  24195  11200   49331  14029  71587  21729  12778  34883  22146    7523   -      -    3.21613717931676193008      -            -
D3      51446  47026  4420    70369  57585  65828  82258  41264  34681  10363    13600  -      -    3.45779411764705882352      -            -
D19     56269  90756  65180   60965  27112  48119  51963  76143  88949  68041    4613   -      -    19.67396488185562540646     -            -
D16     34949  74763  59853   65346  8194   46010  59392  13413  33865  23521    4552   -      -    16.42420913884007029876     -            -
D3      49922  79412  70177   76905  71115  93950  6756   57878  23394  46340    22939  -      -    3.46187715244779632939      -            -
D57     37427  90500  46594   49374  2993   3513   74415  74167  85924  62601    1586   -      -    57.06179066834804539722     -            -
D11     78358  54029  24329   83259  45643  325    5498   45219  42783  87001    4843   -      -    11.15610158992360107371     -            -
D15     89102  67421  21681   96153  97861  65674  46997  67932  79793  67787    4490   -      -    15.01581291759465478841     -            -
D15     35338  39176  95829   46254  84151  84132  39634  57048  18490  34967    2590   -      -    15.12586872586872586872     -            -
D80     68272  33602  34670   72513  76584  17894  51072  9856   17615  3293     416    -      -    80.77403846153846153846     -            -
D9      53582  98379  54870   97230  60693  65080  96308  29210  93352  24826    9934   -      -    9.90326152607207569961      -            -
D22     44880  13302  31578   67028  6478   79307  46091  41951  23887  18680    584    -      -    22.77739726027397260273     -            -
D0      26678  6125   20553   46025  34357  90426  58589  27787  70041  50688    7331   -      -    0.83549311144455053880      -            -
D4      53527  84823  68371   86869  17580  86366  38212  77909  28924  10272    20185  -      -    4.20227891999009165221      -            -
D5      59893  17712  42181   69321  46753  69361  25773  50706  24880  2712     3325   -      -    5.32691729323308270676      -            -
D45     28802  24145  4657    30290  94313  18163  23335  74728  91667  87246    530    -      -    45.55660377358490566037     -            -
D21     38784  62488  75963   50730  49712  41418  81938  60430  81753  306      2946   -      -    21.21113374066530889341     -            -
D0      53630  8746   44884   84152  30036  35455  23251  94833  92833  42454    23108  -      -    0.37848364202873463735      -            -
D8      34402  39969  94100   64192  65904  1356   66419  4816   33022  57379    4612   -      -    8.66630529054640069384      -            -
D2      60494  81885  78276   92477  87966  77385  82801  78997  29903  72173    28511  -      -    2.87204938444810774788      -            -
D6      47348  63242  83773   85129  15116  44716  9117   72428  98293  81460    9567   -      -    6.61043169227553046932      -            -
D14     85485  98710  86442   94242  48926  87043  22757  21734  73892  56177    6672   -      -    14.79466426858513189448     -            -
D57     68290  64981  3309    71488  47632  47843  21033  44634  32698  92824    1132   -      -    57.40371024734982332155     -            -
D289    16475  7827   8648    24699  91936  84619  97178  58134  99284  93942    27     -      -    289.88888888888888888888    -            -
D6      36145  16072  20073   42857  22829  45236  91922  42954  23126  11020    2585   -      -    6.21740812379110251450      -            -
D44     14865  26358  88174   17720  2783   39293  66739  89081  82882  95558    590    -      -    44.67457627118644067796     -            -
D6      59061  21698  37363   62551  32977  13693  21399  95558  92682  82516    3221   -      -    6.73641726171996274448      -            -
D6      51782  85302  66147   70690  25317  50228  55561  24137  33135  18640    13966  -      -    6.10783330946584562508      -            -
D180    55456  46149  9307    56192  93988  89636  39329  51872  31948  68174    256    -      -    180.26953125000000000000    -            -
D1      19935  4468   15467   25396  80675  23488  88728  79507  50320  21306    3552   -      -    1.25788288288288288288      -            -
D7      34046  50937  82776   61427  54141  42218  67116  58146  87523  19656    6665   -      -    7.64246061515378844711      -            -
D4      52629  25627  27002   76118  86592  20606  95962  58827  50850  87705    5651   -      -    4.53494956644841620952      -            -
D12     67376  96960  70083   97060  99581  61453  56160  65106  82252  63772    8008   -      -    12.10789210789210789210     -            -
D11     17168  88066  28769   26887  74676  17088  47718  78264  93346  39419    7449   -      -    11.82252651362599006578     -            -
D20     62354  42329  20025   74417  72594  20234  13216  23054  2102   55713    2039   -      -    20.75968612064737616478     -            -
D1      64423  29148  35275   86995  37327  48673  29260  97510  24453  37449    19279  -      -    1.51190414440583017791      -            -
D2      64979  19761  45218   79116  12478  16093  58266  26591  6865   96865    8431   -      -    2.34385007709642984224      -            -
D110    70918  50324  20594   72019  19365  39186  2910   60065  49111  5242     454    -      -    110.84581497797356828193    -            -
D31     37820  32878  4942    56210  71301  62737  50833  64211  22177  93510    1040   -      -    31.61346153846153846153     -            -
D8      62590  84558  77699   73179  81821  37822  3500   88093  30398  50404    9645   -      -    8.76702954898911353032      -            -
D40     42604  92998  49273   62759  24121  10035  82168  38465  6871   82391    2294   -      -    40.53966870095902353966     -            -
D0      61405  4195   57210   68405  35287  44267  78274  96923  90861  34871    5405   -      -    0.77613320999074930619      -            -
D31     11181  83691  27157   19720  84737  35780  81420  27548  65593  95142    2642   -      -    31.67713853141559424678     -            -
D9      29949  75375  54241   51630  82251  45012  67272  19435  93218  71215    8268   -      -    9.11647314949201741654      -            -
D4      90584  21559  69025   96720  68199  71070  32683  44615  26516  91612    4680   -      -    4.60662393162393162393      -            -
D184    88220  29628  58592   88811  77102  89915  57842  95329  15174  8033     161    -      -    184.02484472049689440993    -            -
D48     56472  99070  57069   65546  75615  56378  20477  2985   13396  31464    2028   -      -    48.85108481262327416173     -            -
D1      49422  41574  7848    76035  31652  52144  13898  46727  12582  60163    22809  -      -    1.82270156517164277258      -            -
D8      35758  28765  6993    68291  10789  99544  18     20883  25287  37148    3225   -      -    8.91937984496124031007      -            -
D1      53438  41269  12169   81584  81244  41230  57457  23623  59480  78750    25292  -      -    1.63170172386525383520      -            -
D53     45666  76446  68887   51196  45485  26793  78747  43127  92347  64307    1426   -      -    53.60869565217391304347     -            -
D15     57353  31826  25527   60422  59632  96108  86660  8654   24535  60962    2111   -      -    15.07626717195641875888     -            -
D1331   70007  62603  7404    70117  11964  22740  33608  60926  44326  22856    47     -      -    1331.97872340425531914893   -            -
D0      65498  3164   62334   70646  58178  26572  31870  3511   61066  72644    3722   -      -    0.85008060182697474476      -            -
D1      34164  28920  5244    52746  73435  96861  81480  55166  56160  15683    15582  -      -    1.85598767809010396611      -            -
D14     81559  47028  34531   86171  68120  51630  33670  3499   89962  56822    3155   -      -    14.90586370839936608557     -            -
D4      31344  58114  72897   50991  73844  69147  70440  30482  7983   6617     11697  -      -    4.96828246558946738479      -            -
D6      47772  65286  82153   60283  55623  75998  63266  19615  64380  99136    10239  -      -    6.37620861412247289774      -            -
D18     62380  92807  69240   91070  58900  58025  9133   35230  72635  18918    5000   -      -    18.56140000000000000000     -            -
D15     31652  58024  73295   36296  84019  98187  4458   7158   21354  70874    3788   -      -    15.31784582893347412882     -            -
D4      84977  9263   75714   88748  96519  2378   22703  82105  15924  84752    2015   -      -    4.59702233250620347394      -            -
D2      76788  18246  58542   86619  43955  12752  16106  20460  23671  56964    7971   -      -    2.28904779826872412495      -            -
D4      23558  53334  69891   35806  45795  72511  37578  74941  93103  86290    11310  -      -    4.71564986737400530503      -            -
D3      46813  49757  96723   63673  35791  92824  3479   72541  8652   74013    13093  -      -    3.80027495608340334529      -            -
D0      55938  4773   51165   99658  39424  29576  3860   18444  21537  29025    12218  -      -    0.39065313471926665575      -            -
D15     83572  95746  87493   90595  93180  25260  72526  70164  63574  1030     6319   -      -    15.15208102547871498654     -            -
D20     61321  31011  30310   91224  84958  62461  7667   77576  70693  61591    1515   -      -    20.46930693069306930693     -            -
D4      79152  87764  91055   99257  89576  33680  26139  67149  24635  78354    18837  -      -    4.65912831130222434570      -            -
D4      58919  96542  62044   96921  97076  94552  95689  22059  15214  54393    20917  -      -    4.61548023139073480900      -            -
D2      46986  20868  26118   56435  32749  21990  1002   36354  31089  78005    9190   -      -    2.27072905331882480957      -            -
D4      57706  28887  28819   83038  42278  98759  34737  45481  18719  96893    7042   -      -    4.10210167566032377165      -            -
D1      47572  12641  34931   59557  38488  32384  13586  86772  52466  68792    11617  -      -    1.08814668158732891452      -            -
D11     19779  38306  81140   36192  39803  17554  61063  9995   33448  4711     3366   -      -    11.38027332144979203802     -            -
D2      46784  27398  19386   58551  48253  36538  77392  21559  9951   78083    11483  -      -    2.38596185665766785683      -            HYP-001
D1      28092  18108  9984    44318  4410   34950  73984  96252  59741  29294    11866  -      -    1.52604078880836002022      -            -
D6      49923  95834  53756   84674  59961  78128  48028  66303  7109   69272    15172  -      -    6.31650408647508568415      -            -
D14     81083  17816  63267   86404  7490   16086  79485  11182  69962  12005    1268   -      -    14.05047318611987381703     -            -
D32     78977  47743  31234   88665  36947  79381  57714  92035  77909  36467    1473   -      -    32.41208418194161575016     -            -
D5      41247  71442  69472   68931  7503   86366  61791  30986  70743  89395    13563  -      -    5.26741871267418712674      -            -
D30     59230  8312   50918   71022  7222   16598  61618  94046  95615  42479    270    -      -    30.78518518518518518518     -            -
